food_id,food,caloric_value,fat,saturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,calcium,iron,nutrition_density,price,CO2_emissions_kg_per_kg,refined_category
622,lotus root raw,85,0.1,0.057,19.8,0,3,5.6,0,0.06,51.8,1.3,132.2,62,13.7,Processed Foods
623,grape leaves,13,0.3,0.085,2.4,0.9,0.8,1.5,0,0.005,50.8,0.4,57.8,37,11.8,Fruits
624,dill pickled cucumber,17,0.2,0.08,3.7,1.9,0.9,1.6,0,1.3,60.1,0.5,68.1,75,15,Processed Foods
625,skunk cabbage,11,0.1,0,1.8,0,1.5,1.2,0,0.016,43.1,0.9,79.4,36,0.51,Processed Foods
626,banana pepper,9,0.1,0.018,1.8,0.6,0.5,1.1,0,0.039,4.6,0.2,35.6,47,0.86,Fruits
627,oriental radish raw,61,0.3,0.1,13.9,8.5,2,5.4,0,0.014,91.3,1.4,188.7,26,4.2,Processed Foods
628,purslane cooked,21,0.2,0,4.1,0,1.7,0,0,0.3,89.7,0.9,108.7,51,3.7,Processed Foods
629,rhubarb raw,11,0.1,0.043,2.3,0.6,0.5,0.9,0,0.058,0.058,0.018,4.017,71,16.7,Processed Foods
630,swamp cabbage,20,0.2,0,3.6,0,2,1.9,0,0.4,52.9,1.3,77.6,37,0.51,Processed Foods
631,mung bean sprouts raw,6,0.044,0.036,1.2,0.8,0.6,0.4,0,0.08,0.069,0.072,2.418,3,1,Plant-Based Proteins
632,onion cooked,7,0.034,0.095,1.5,0.7,0.2,0.2,0,0.04,0.084,0.067,2.171,11,0.5,Vegetables
633,swiss chard raw,7,0.042,0.065,1.3,0.4,0.6,0.6,0,0.089,18.4,0.6,32.314,97,10.5,Processed Foods
634,peas raw,117,0.6,0.1,21,8.2,7.9,7.4,0,0.017,36.3,2.1,133.3,75,1,Plant-Based Proteins
635,cabbage cooked,35,0.019,0,8.3,4.2,1.9,2.9,0,0.011,0.2,0.067,13.566,97,0.51,Processed Foods
636,taro leaves cooked,35,0.6,0.1,5.6,0,3.9,2.9,0,0.3,124.7,1.7,190.9,71,14.2,Processed Foods
637,leeks cooked,38,0.2,0.086,9.4,2.6,1,1.2,0,0.067,37.2,1.4,55.6,80,0.5,Processed Foods
638,split peas cooked,227,0.8,0.1,40.2,5.7,16.3,16.3,0,0.5,27.4,2.5,104.3,27,1,Plant-Based Proteins
639,sweet corn yellow,58,0.4,0.029,14.2,2.6,4.1,1.5,0,0.05,0,0.075,20.347,2,14.2,Processed Foods
640,asparagus raw,2,0.037,0.012,0.5,0.2,0.3,0.3,0,0.047,0.088,0.039,1.326,85,7.3,Processed Foods
641,collard cooked,63,1.4,0.049,10.7,0,5.1,7.6,0,0.013,267.9,2.1,329.4,18,18.7,Oils & Fats
642,swiss chard cooked,35,0.1,0,7.2,1.9,3.3,3.7,0,0.7,101.5,4,151.3,98,2.1,Processed Foods
643,nopales cooked,22,0.003,0.064,4.9,1.7,2,3,0,0.087,244.4,0.7,262.963,52,10.5,Processed Foods
644,tahitian taro cooked,60,0.9,0.2,9.4,0,5.7,0,0,0.4,204.1,2.1,274.3,20,1.8,Processed Foods
645,chinese cabbage pak choi raw,9,0.1,0.013,1.5,0.8,1.1,0.7,0,0.087,73.5,0.6,109,72,0.51,Processed Foods
646,green chili pepper,18,0.097,0.067,4.3,2.3,0.9,0.7,0,0.023,0.017,0.059,6.188,12,12.3,Herbs & Spices
647,mountain yam raw,91,0.1,0.015,22.2,0.4,1.8,3.4,0,0.021,35.4,0.6,67,77,0.1,Processed Foods
648,parsnips cooked,114,0.5,0.081,27.2,7.7,2.1,6.4,0,0.021,0.065,0.2,36.576,27,16.2,Processed Foods
649,tomato stewed,97,3.3,0.6,16.1,0,2.4,2.1,0,0.6,0,0.1,24.1,99,12.4,Vegetables
650,sweet green peppers cooked,19,0.1,0.037,4.5,2.3,0.7,0.9,0,0.2,6.6,0.3,67.4,61,10.1,Herbs & Spices
651,white corn raw,143,2,0.3,31.6,5.3,5.3,4.5,0,0.088,0.081,0.5,43.973,14,18.8,Processed Foods
652,rutabaga raw,286,1.2,0.2,66.5,34.4,8.3,17.8,0,0.061,332,3.4,622.2,23,7.2,Processed Foods
653,jalapeno peppers canned,37,1.3,0.1,6.4,2.9,1.3,3.5,0,2.3,31.3,2.6,60,31,14.4,Herbs & Spices
654,pumpkin canned,83,0.7,0.4,19.8,8.1,2.7,7.1,0,0.6,63.7,3.4,107.7,76,14.9,Processed Foods
655,peas onions canned,61,0.5,0.064,10.3,0,3.9,2.8,0,0.5,20.4,1,42.5,77,1,Plant-Based Proteins
656,sweet mashed potato canned,258,0.5,0.1,59.1,13.9,5,4.3,0,0.2,76.5,3.4,162.1,17,0.46,Vegetables
657,hominy canned,119,1.5,0.2,23.5,3,2.4,4.1,0,0.6,16.5,1,49,58,0.9,Processed Foods
658,tomato puree canned,95,0.5,0.098,22.5,12.1,4.1,4.8,0,0.002,0.038,0.7,32.936,9,7.5,Vegetables
